Task ID,Task Title,Task Type,Creation Date,Deadline,Current Status,Resource_ID,Assignee Name,Estimated Effort (Hours),Business Impact,Priority Level
T001,Develop Contract Management Plan,Certificate of Acceptance (CoA),20/7/2024,14/9/2024,To Do,R035,Pamela Jones,13,Medium,1
T002,Present Control Reports to Stakeholders,Portal,8/8/2024,10/9/2024,In Progress,R025,Megan Hernandez,38,Low,1
T003,Design the data backup strategy.,User Authentication and Access Control,29/7/2024,27/9/2024,In Progress,R099,David Burnett,25,Medium,1
T004,Develop asset lifecycle management features.,Finalization and Integration,23/8/2024,1/11/2024,To Do,R015,Anthony Patterson,9,Low,1
T005,Conduct integration testing to ensure seamless operation.,Customer Relationship Management (CRM),20/7/2024,16/10/2024,In Progress,R009,Dana Knight,23,High,1
T006,Monitor Contract Compliance Across Projects,Finalization and Integration,10/7/2024,28/10/2024,In Progress,R174,Julie Robinson,6,High,1
T007,Develop asset lifecycle management features.,Data Management and Storage,12/7/2024,20/9/2024,Completed,R083,Amy Hill,26,High,2
T008,Test the risk management module for completeness and usability.,Communication and Collaboration Tools,6/7/2024,17/10/2024,Completed,R029,Curtis Diaz,24,High,2
T009,Develop Project Monitoring Templates,Data Management and Storage,5/7/2024,22/10/2024,Completed,R171,Tina Hill,28,Low,0
T010,Compile detailed documentation for each module.,Workflow Management,6/8/2024,9/10/2024,In Progress,R078,David Cunningham,31,Medium,1
T011,Develop Enterprise Architecture Roadmap,Contract Documentation,28/8/2024,26/10/2024,In Progress,R178,Eric Jones,8,Medium,0
T012,Develop payment processing for multiple gateways.,Transfer of Knowledge (TOK),2/8/2024,6/10/2024,Completed,R200,David Harris,31,Medium,1
T013,"Develop CRUD (Create, Read, Update, Delete) operations for data entities.",Training Management,26/8/2024,25/9/2024,Completed,R014,Kathy Tyler,13,Low,0
T014,Implement task assignment and progress tracking.,Human Resource Management (HRM),21/7/2024,16/10/2024,In Progress,R090,Claire Peterson MD,29,Medium,0
T015,Design the payment gateway integration architecture.,Inventory Management,15/7/2024,24/10/2024,To Do,R074,Shane Bentley,21,Medium,0
T016,Implement Change Communication Strategies,Project Management,12/8/2024,13/10/2024,In Progress,R028,Carrie Thomas,34,Low,2
T017,Develop Project Closure Report Template,Reporting and Analytics,31/7/2024,12/9/2024,To Do,R071,Gina Bolton,39,High,1
T018,Schedule and Conduct User Training Sessions,Certificate of Acceptance (CoA),28/8/2024,28/10/2024,In Progress,R173,David Higgins,14,High,1
T019,Develop subscription upgrade and cancellation workflows.,Workflow Management,27/8/2024,5/9/2024,To Do,R063,Paul Thomas,29,High,2
T020,Design the overall UI framework and components.,Training Management,15/7/2024,12/10/2024,Completed,R007,Jacob Williams,5,Low,2
